sku_id,category,subcategory,total_on_hand,total_on_order,reorder_trigger,unit_cost,total_ml_forecast_units,recommended_action,rupee_impact_at_stake,date
P0001,Clothing,Clothing_General,415,67,1145,7.618,288.8400833413817,Reorder Now,5050.734,2024-01-01
P0001,Electronics,Electronics_General,497,137,1145,27.521,131.4646696789436,Reorder Now,14063.231,2024-01-01
P0001,Toys,Toys_General,223,93,1145,35.919,284.6308396798671,Reorder Now,29776.851,2024-01-01
P0002,Furniture,Furniture_General,217,73,1122,29.146,276.44002202887566,Reorder Now,24249.472,2024-01-01
P0002,Groceries,Groceries_General,364,149,1122,37.479,403.5819354672984,Reorder Now,22824.711,2024-01-01
P0003,Clothing,Clothing_General,372,132,1134,53.0465,132.42110361708666,Reorder Now,33419.295,2024-01-01
P0003,Furniture,Furniture_General,419,169,1134,47.2095,283.26524567658396,Reorder Now,25776.387,2024-01-01
P0003,Groceries,Groceries_General,112,169,1134,27.2935,155.169774505914,Reorder Now,23281.3555,2024-01-01
P0003,Toys,Toys_General,69,191,1134,14.261,141.6722238695025,Reorder Now,12464.114,2024-01-01
P0004,Furniture,Furniture_General,105,193,1139,28.2945,137.78454883419587,Reorder Now,23795.6745,2024-01-01
P0004,Groceries,Groceries_General,338,152,1139,56.1405,279.46894337245976,Reorder Now,36435.1845,2024-01-01
P0004,Toys,Toys_General,133,77,1139,16.432,265.9519555828896,Reorder Now,15265.328,2024-01-01
P0005,Electronics,Electronics_General,411,200,1158,53.404,138.43728969773082,Reorder Now,29211.988,2024-01-01
P0005,Groceries,Groceries_General,471,167,1158,10.127,133.42566860374637,Reorder Now,5266.04,2024-01-01
P0005,Toys,Toys_General,464,44,1158,11.037,405.15715157213646,Reorder Now,7174.05,2024-01-01
P0006,Electronics,Electronics_General,305,114,1143,42.094,138.3125321501669,Reorder Now,30476.056,2024-01-01
P0006,Furniture,Furniture_General,451,200,1143,15.8535,284.47875657239564,Reorder Now,7799.9220000000005,2024-01-01
P0006,Toys,Toys_General,160,78,1143,12.389,281.31649174355954,Reorder Now,11212.045,2024-01-01
P0007,Clothing,Clothing_General,256,184,1148,50.336,136.7142635783252,Reorder Now,35637.888,2024-01-01
P0007,Electronics,Electronics_General,108,74,1148,35.6655,269.2064514936176,Reorder Now,34452.873,2024-01-01
P0007,Groceries,Groceries_General,59,34,1148,40.378,139.10445891899022,Reorder Now,42598.79,2024-01-01
P0007,Toys,Toys_General,53,40,1148,41.379,138.86726756283963,Reorder Now,43654.845,2024-01-01
P0008,Electronics,Electronics_General,315,108,1123,20.371,267.2356957328588,Reorder Now,14259.699999999999,2024-01-01
P0008,Furniture,Furniture_General,218,144,1123,58.747,415.80017787084296,Reorder Now,44706.467,2024-01-01
P0009,Clothing,Clothing_General,115,139,1154,31.6225,145.66848212684278,Reorder Now,28460.25,2024-01-01
P0009,Electronics,Electronics_General,167,188,1154,62.92,290.4891636217793,Reorder Now,50273.08,2024-01-01
P0009,Furniture,Furniture_General,496,58,1154,35.516,271.25198445457545,Reorder Now,21309.6,2024-01-01
P0010,Furniture,Furniture_General,167,107,1141,26.6175,270.4891901969198,Reorder Now,23077.3725,2024-01-01
P0010,Toys,Toys_General,419,58,1141,21.762,407.3143647469551,Reorder Now,14449.968,2024-01-01
P0011,Electronics,Electronics_General,449,118,1148,59.0785,138.71812645260383,Reorder Now,34324.6085,2024-01-01
P0011,Groceries,Groceries_General,156,166,1148,64.4345,410.78182286408185,Reorder Now,53222.897,2024-01-01
P0011,Toys,Toys_General,137,46,1148,24.9795,135.86210030262552,Reorder Now,24105.217500000002,2024-01-01
