date,sku_id,store_id,region,units_sold,revenue,unit_price,discount,category,subcategory,launch_date,unit_cost,week,month,season,promotion_events,on_hand,on_order,lead_time,reorder_point,weather_condition,competitor_pricing,demand_forecast
01-01-2022,P0001,S001,North,127,3403.6,33.5,20,Groceries,Groceries_General,01-01-2022,21.775,52,1,Winter,0,231,55,7,1145,Rainy,29.69,135.47
01-01-2022,P0002,S001,South,150,7561.2,63.01,20,Toys,Toys_General,01-01-2022,40.9565,52,1,Winter,0,204,66,7,1122,Sunny,66.16,144.04
01-01-2022,P0003,S001,West,65,1637.415,27.99,10,Toys,Toys_General,01-01-2022,18.1935,52,1,Winter,1,102,51,7,1134,Sunny,31.32,74.02
01-01-2022,P0004,S001,North,61,1796.328,32.72,10,Toys,Toys_General,01-01-2022,21.268,52,1,Winter,1,469,164,7,1139,Cloudy,34.74,62.18
01-01-2022,P0005,S001,East,14,1030.96,73.64,0,Electronics,Electronics_General,01-01-2022,47.866,52,1,Winter,0,166,135,7,1158,Sunny,68.95,9.26
01-01-2022,P0006,S001,South,128,8850.816,76.83,10,Groceries,Groceries_General,01-01-2022,49.9395,52,1,Winter,1,138,102,7,1143,Sunny,79.35,139.82
01-01-2022,P0007,S001,East,97,2982.168,34.16,10,Furniture,Furniture_General,01-01-2022,22.204,52,1,Winter,1,359,167,7,1148,Rainy,36.55,108.92
01-01-2022,P0008,S001,North,312,29044.236,97.99,5,Clothing,Clothing_General,01-01-2022,63.6935,52,1,Winter,0,380,54,7,1123,Cloudy,100.09,329.73
01-01-2022,P0009,S001,West,175,3266.55,20.74,10,Electronics,Electronics_General,01-01-2022,13.481,52,1,Winter,0,183,135,7,1154,Cloudy,17.66,174.15
01-01-2022,P0010,S001,South,28,1679.72,59.99,0,Toys,Toys_General,01-01-2022,38.9935,52,1,Winter,1,108,196,7,1141,Rainy,61.21,24.47
01-01-2022,P0011,S001,South,150,7901.55,58.53,10,Furniture,Furniture_General,01-01-2022,38.0445,52,1,Winter,1,258,153,7,1148,Sunny,61.42,152.74
01-01-2022,P0012,S001,West,24,1118.4,58.25,20,Clothing,Clothing_General,01-01-2022,37.8625,52,1,Winter,0,66,70,7,1130,Snowy,62.21,26.75
01-01-2022,P0013,S001,South,42,1831.2,43.6,0,Toys,Toys_General,01-01-2022,28.34,52,1,Winter,0,96,85,7,1151,Cloudy,46.31,41.46
01-01-2022,P0014,S001,West,12,937.32,78.11,0,Clothing,Clothing_General,01-01-2022,50.7715,52,1,Winter,0,193,187,7,1167,Sunny,80.06,6.8
01-01-2022,P0015,S001,North,369,29166.3135,92.99,15,Clothing,Clothing_General,01-01-2022,60.4435,52,1,Winter,0,379,154,7,1166,Snowy,95.8,363.46
01-01-2022,P0016,S001,North,255,5305.275,21.9,5,Electronics,Electronics_General,01-01-2022,14.235,52,1,Winter,1,363,69,7,1169,Cloudy,20.27,255.74
01-01-2022,P0017,S001,West,246,4146.576,21.07,20,Toys,Toys_General,01-01-2022,13.6955,52,1,Winter,0,318,177,7,1151,Sunny,16.49,255.37
01-01-2022,P0018,S001,South,151,2807.3165,19.57,5,Clothing,Clothing_General,01-01-2022,12.7205,52,1,Winter,0,241,47,7,1132,Cloudy,23.13,147.27
01-01-2022,P0019,S001,East,257,16949.664,73.28,10,Clothing,Clothing_General,01-01-2022,47.632,52,1,Winter,0,352,186,7,1145,Cloudy,77.26,267.38
01-01-2022,P0020,S001,East,99,2844.072,30.24,5,Toys,Toys_General,01-01-2022,19.656,52,1,Winter,0,274,166,7,1167,Cloudy,27.1,115.23
01-01-2022,P0001,S002,South,104,2728.96,32.8,20,Groceries,Groceries_General,01-01-2022,21.32,52,1,Winter,1,343,144,7,1145,Sunny,30.78,112.55
01-01-2022,P0002,S002,West,141,5857.704,46.16,10,Clothing,Clothing_General,01-01-2022,30.004,52,1,Winter,1,373,151,7,1122,Rainy,45.21,135.62
01-01-2022,P0003,S002,East,182,2978.976,20.46,20,Furniture,Furniture_General,01-01-2022,13.299,52,1,Winter,1,445,119,7,1134,Snowy,22,176.31
01-01-2022,P0004,S002,West,63,1649.97,26.19,0,Toys,Toys_General,01-01-2022,17.0235,52,1,Winter,0,191,115,7,1139,Cloudy,28.06,54.57
01-01-2022,P0005,S002,West,156,10394.592,83.29,20,Toys,Toys_General,01-01-2022,54.1385,52,1,Winter,0,281,25,7,1158,Rainy,80.64,150.9
01-01-2022,P0006,S002,North,250,17118,85.59,20,Furniture,Furniture_General,01-01-2022,55.6335,52,1,Winter,0,492,168,7,1143,Cloudy,86.82,242.57
